Data: 24999 trajectories (19999 train, 5000 test)
  Each: torch.Size([24999, 25, 2048])
Model: 21,027,840 (21.0M) params
Test: 5000 trajectories, zero MSE = 0.01697
Epoch  48 | train=0.00606 | test=0.00645 | cos=0.7871 | best=0.00645 | R²=0.6202 | 2104s | 0.023ep/s
Epoch  49 | train=0.00606 | test=0.00645 | cos=0.7871 | best=0.00645 | R²=0.6202 | 2145s | 0.023ep/s
Epoch  50 | train=0.00606 | test=0.00644 | cos=0.7872 | best=0.00644 | R²=0.6203 | 2187s | 0.023ep/s
Epoch  51 | train=0.00605 | test=0.00644 | cos=0.7873 | best=0.00644 | R²=0.6204 | 2229s | 0.023ep/s
Epoch  52 | train=0.00605 | test=0.00644 | cos=0.7872 | best=0.00644 | R²=0.6204 | 2270s | 0.023ep/s
Epoch  53 | train=0.00605 | test=0.00644 | cos=0.7872 | best=0.00644 | R²=0.6204 | 2311s | 0.023ep/s
Epoch  54 | train=0.00604 | test=0.00644 | cos=0.7873 | best=0.00644 | R²=0.6204 | 2352s | 0.023ep/s
Epoch  55 | train=0.00604 | test=0.00644 | cos=0.7874 | best=0.00644 | R²=0.6206 | 2392s | 0.023ep/s
Epoch  56 | train=0.00604 | test=0.00644 | cos=0.7874 | best=0.00644 | R²=0.6206 | 2433s | 0.023ep/s
Epoch  57 | train=0.00603 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6207 | 2475s | 0.023ep/s
Epoch  58 | train=0.00603 | test=0.00644 | cos=0.7874 | best=0.00644 | R²=0.6207 | 2516s | 0.023ep/s
Epoch  59 | train=0.00603 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6207 | 2556s | 0.023ep/s
Epoch  60 | train=0.00603 | test=0.00644 | cos=0.7874 | best=0.00644 | R²=0.6207 | 2600s | 0.023ep/s
Epoch  61 | train=0.00602 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6207 | 2673s | 0.023ep/s
Epoch  62 | train=0.00602 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6208 | 2719s | 0.023ep/s
Epoch  63 | train=0.00602 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6208 | 2764s | 0.023ep/s
Epoch  64 | train=0.00602 | test=0.00644 | cos=0.7875 | best=0.00644 | R²=0.6208 | 2810s | 0.023ep/s
